answer,summary
저는 저 혼자 시간을 보내는 것을 우선적으로 하고요. 예를 들어서 혼자 산책을 한다든지 아니면 혼자 카페를 간다든지 아니면 혼자 코인 노래방을 간다든지 해서 스트레스를 해소하는 편입니다. 물론 남들과 만나면서 시간을 보내는 것도 굉장히 좋아하지만요. 아무래도 내 혼자만의 시간이 있어야 어느 정도 생각 정리도 되고 그러면서 내 안에 있던 응어리도 절로 풀러지는 그런 것을 경험하게 되었습니다. 그리고 코인 노래방이나 이런 곳에 가면은 아무래도 제가 노래 부르는 것도 좋아하고 그리고 노래를 부르면서 그런 소리가 웅웅거리고 또 소리를 지른다는 거에 대해서 해소감도 있는 것 같고요. 그래서 저는 일단 혼자만의 시간을 보내는데 뭐 혼자서 노래방을 가거나 아니면 혼자서 카페를 가거나 그런 식으로 스트레스를 해소한다 라고 말씀을 드릴 수 있을 것 같습니다.,"저는 혼자 시간을 보내는 것을 우선적으로 하며, 혼자 산책을 하거나 혼자 카페를 간다든지 또는 혼자 노래방을 간다든지 해서 스트레스를 해소하는 편입니다. 혼자의 시간이 있으면 생각 정리도 되고 제 안에 있던 응어리도 저절로 풀러지는 것을 경험하게 되었습니다."
네 여러 관계자와 협력을 해서 네 성공적으로 일정을 수행해 본 적이 있었고요. 아무래도 사람이 많다 보니까 저의 생각을 먼저 고수하는 것보다는 그들의 의견을 먼저 듣는 것에서 부터 시작했습니다. 아무래도 서로가 뭐라고 해야 될까요. 각자 보이는 생각이 다 맞다고 우기면은 거기서 더 잘 나아갈 수가 없더라고요. 그래서 들어봤을 때 이 사람의 이야기를 먼저 듣고 만약에 이게 아니다 라는 느낌이 들었을 때는 제가 이 사람 말에 우선 이해와 공감을 먼저 했습니다. 이러한 상황에서 당신의 말은 이렇군요 저도 그럴 것 같습니다 하지만 저희는 이런 결과물로 내야 되는데 여기에서 이 상황만 생각하면 조금은 어려울 것 같아요. 그래서 우리가 이런 비 상황도 함께 고려해서 좋게 결과를 만들어 봅시다 라는 식으로 조금은 애둘러서 하지만 강하게 말을 했었고 그로 인해서 협력이 잘 되었던 기억이 납니다. 네 그런 식으로 진행을 해서 굉장히 잘 수행되었다고 말씀드릴 수 있을 것 같습니다.,여러 관계자와 협력을 해서 성공적으로 일정을 수행해 본 적이 있습니다. 각자 보이는 생각이 다 맞다고 우기면 더 나아갈 수가 없어서 제 생각을 먼저 고수하는 것보다는 그들의 의견을 먼저 듣는 것에서 부터 시작했습니다. 그렇게 진행을 해서 굉장히 잘 수행되었다고 말씀을 할 수 있을 것 같습니다.
대부분은 왠지 전사나 마법사를 고를 것 같은데요. 저는 조금은 독특하게 힐러 역할을 해보고 싶습니다. 힐러는 어떻게 보면은 굉장히 소위 게임하는 사람들 사이에서는 게임을 굉장히 못하는 그러니까 너는 내 피나 채워줘라 약간 이런 역할로 볼 수 있는데요. 사실 어떻게 보면은 없어서는 안 될 가장 중요한 역할이라고 생각하거든요. 이 캐릭터에 체력이 따르기 전에 채워 넣어야 되는 그런 센스도 있어야 되고요. 그러면서 이 사람들이 안전한 위치에 내가 또 봐 놓고 들어가야 됩니다. 또 그러한 순발력도 있어야 되고 그리고 아무래도 아까 전에 제가 이야기한 것처럼 없으면 안 될 존재라서 그래도 누군가는 해야 되는 일이잖아요. 네 그래서 저는 힐러 역할을 해서 다른 전사라던지 마법사들의 그런 피를 채워주는 그런 없어서는 안 될 존재가 되고 싶습니다.,"대부분 전사나 마법사를 고를 것 같은데, 저는 힐러 역할을 해보고 싶습니다. 힐러는 게임하는 사람들 사이에서는 게임을 굉장히 못하는 약간 다른 역할로 볼 수 있지만, 사실 가장 중요한 역할이라고 생각하고 있습니다."
네 소통 능력을 키우기 위해서는 저는 일단 말을 많이 해야 된다 라고 생각을 하는데요. 동아리에 가입을 하거나 어떤 커뮤니티에 등록을 하는 게 가장 효과적이라고 말씀드릴 수 있을 것 같습니다. 하지만 우리가 요즘 코로나시대다 보니까 뭐 쉽게 할 수 없는 것들도 있잖아요. 거기에서는 아마 제가 하는 방법으로는요. 어떠한 상황을 가정하고 거기에 맞게 이야기하는 혼잣말 하는 거를 약간 저는 연습을 했었습니다. 예를 들어서 내가 어디에 가서 이 물건을 사야 되는데 직원이 없다. 그래서 이 직원을 찾기 위해서 나는 또 다른 누군가에게 물어봐서 길을 찾아가야 된다. 뭐 대략적으로 어 그 조금은 엉뚱하게 제가 말씀을 드렸는데요. 그런 식으로 제가 어떠한 상황을 가정하고 거기에 맞게 대처하는 것을 여러 번 연습했습니다. 그러다 보니까 소통 능력도 덩달아 좋아지구요. 단어 선택이라든지 아니면 또 거기에 따른 뭐 추임새라고 할까요. 네 그런 것도 넣는 게 조금 늘어서요. 저는 방금 제가 말한 이 방법을 네 많이 사용을 했었고 추천을 하는 바입니다.,"소통 능력을 키우기 위해서는 말을 많이 해야 되는데, 동아리 가입이나 어떤 커뮤니티에 등록을 하는 게 가장 효과적이라고 말씀을 할 수 있을 것 같습니다. 소통 능력 향상을 위해서는 어떤 상황을 가정하고 거기에 맞게 대처하는 혼잣말 하는 연습을 많이 했습니다. 그러다 보니 소통 능력도 덩달아 좋아지고 단어 선택이나 추임새도 추가되었습니다."
네 과거에 프로젝트를 수행했던 경험이 있구요. 저는 리더보다는 주변 사람들을 챙기고 그 사람들의 의견을 듣는 그런 조언 역할을 했습니다. 이렇게 들으면은 굉장히 어 저기 어떤 그 상황에 사람일까 라는 생각이 드는데요. 예를 들어서 사람은 다양하게 있고요 그 사람들의 생각도 다 다양합니다. 그래서 간혹 그들이 충돌하는 경우도 있는데요. 그런 상황에서 저는 중재자의 역할을 했었고 어떻게 하면 이 상황을 해결할지 그리고 어떻게 하면 이걸 잘 해결해서 우리가 좋은 결과를 이끌어낼 수 있을지 고민하는 역할에 있었다 라고 보면 좋을 것 같고요. 실제로 두 팀원들이 싸워서 사이가 굉장히 안 좋아질 뻔한 적이 있었는데 제가 직접 그 두 분의 이야기를 듣고 그 두 분의 입장에서 그 상황을 고려해서 이야기를 전해 줬더니 잘 해결됐던 경험도 있습니다. 예를 들어 아 너는 지금 이 상황에서 에이 라고 생각했구나 너희 입장에서는 그럴 수 있어 그런데 비는 지금 이런 입장이라서 그렇게 이야기를 했대 어찌 보면 둘 다 잘못한 게 아니고 말이 그냥 조금 다르게 나온 거잖아 그러니까 함께 이거를 잘 풀어나갔으면 좋겠다. 뭐 이런 식으로 약간 어떻게 보면 중재하는 그런 역할을 담당해줬습니다.,"저는 리더보다는 주변 사람들을 챙기고 그들의 의견을 듣는 중재자 역할을 했습니다. 실제로 두 팀원들이 싸워서 사이가 안 좋아질 뻔 했던 적이 있는데, 제가 직접 두 분의 이야기를 듣고 그 상황을 고려해서 이야기를 전해 줬더니 잘 해결됐던 경험도 있습니다. 약간 중재하는 역할을 담당했던 것입니다."
최근 경험해 본 서비스들 중에 가장 인상 깊게 본 서비스는 무엇인가요 왜 인상 깊었었는지 설명해 주세요 라는 질문에 대한 저의 답변입니다. 얼마 전 제가 아르바이트 하는 곳에 청소가 필요해서 청소 업체에 의뢰했던 건이 있었습니다. 보통 일반적인 보이는 곳만 청소하는 것이 보통인데 그 업체는 우리가 생각하지 못한 곳까지 꼼꼼하게 복도 틈새마다 찌든 때와 흠집으로 인한 오염물을 미세하게 흡입되어 있어 정밀 관리가 필요했었는데 계단과 유리창 등 특별 서비스를 받아 모든 분이 만족한 서비스를 받는 기분이 들었습니다. 단순한 청소도 최선을 다하는 모습을 보고 저도 모든 일에 대충하려는 마음이 바뀌었었습니다. 어떠한 일이 주어지더라도 서비스 서비스 정신을 발휘하여 최선을 다할 것입니다. 그분의 정성 어린 본인의 일에 최선을 다하는 모습이 꽤 인상적이었습니다.,얼마 전 아르바이트 하는 곳에 청소업체가 왔는데 굉장히 디테일하고 깔끔하게 청소를 해주어 특별 서비스를 받은 기분이었습니다. 본인의 일에 최선을 다하는 모습이 인상적이었습니다.
네 저는 팀장보다는 팀원에 더 잘 맞을 것 같고요. 이렇게 이야기하는 이유는 제가 조별 과제라던지 아니면은 그런 커뮤니티 상황에서 그런 조별 조별의 조장보다는 조원 역할을 많이 했었습니다. 하지만 제가 다른 분들과 차별화된 것은 어떠한 의견들이 있을 때 그것을 조율하고 다른 사람들의 의견을 듣고 거기에 맞춰서 조장님께 이야기해서 함께 나아가는 그런 역할을 했었는데요. 때로는 서로의 생각이 강한 팀원들이 있다면 그것을 중재하는 중재자 역할을 하기도 했습니다. 그리고 실제로 그것은 팀장님과 여기서는 팀장님이고 이제 뭐 조원 조장님들과 제가 그런 식으로 협엽을 했었을 때는 더 긍정적으로 잘 끝났던 경험들이 많은데요. 그래서 저는 모든 이 것들을 이것들 이것이라면 조금 웃기네요. 네 이 팀원들을 끌고 가는 자기 주장이 강한 팀장보다는 그 안에서 사람들과 대화를 많이 나누고 상황을 조율하는 그런 팀원이 잘 맞다 라고 말씀해 드릴 수 있을 것 같습니다.,팀원을 이끌어 가는 자기 주장이 강한 팀장보다는 그 안에서 사람들과 대화를 많이 나누고 상황을 조율하는 그런 팀원이 잘 맞다 라고 말씀해드릴 수 있을 것 같습니다.
네 저는 경영이나 사무 쪽에서 더 중요한 것은 팀워크라고 생각이 듭니다. 창의성이라는 것은 만약에 예술가 였다면 제가 창의성이라고 대답을 했을 것 같습니다. 왜냐하면 작가들은 자신의 생각과 자신의 지식이 굉장히 뚜렷하게 빛이 나는 직종 중에 하나 인데요. 저희는 어떻게 보면 하나의 회사이고 이 회사는 거대한 팀이라고 생각이 듭니다. 그래서 이를 수행하기 위해서는 내 근처에 있는 팀원들과 네 입을 맞추어야 잘 나갈 수 있고 회사의 발전을 위해서는 우리들이 열심히 한 마음 한 뜻이 되어야 더 성장할 수 있다 라고 생각하기 때문입니다. 그래서 저는 창의성보다는 팀워크가 더 중요하다고 말씀드릴 수 있을 것 같습니다.,회사 발전을 위해서는 팀원들의 열심히 한 마음이 되어야 더 성장할 수 있다고 생각하기 때문에 창의성보다는 팀워크가 더 중요하다고 생각합니다.
네 저는 가장 기억에 남는 거짓말은 괜찮지 않으면서 괜찮아 라고 이야기했던 것 같습니다. 내가 힘든 걸 남한테 알리고 싶지 않고 굳이 나의 부정적인 에너지를 전달해 주기 싫어서 괜찮아 라는 말을 입에 달고 살았었는데요. 요즘에는 네 마냥 괜찮다고 말하지만은 않습니다. 왜냐하면 실제로 이 상대가 내가 괜찮은 줄 알았는데 내가 너무 힘들어 하는 모습을 보고 아 얘가 진짜로 괜찮아서 괜찮은 게 아니었구나 하고 미안해하면서 힘들어 하는 모습을 봤거든요. 어떻게 보면은 나는 이 사람이 위해서 거짓말을 했는데 그 거짓말 때문에 상처받는 걸 보니 저도 마음이 안 좋더라고요. 그래서 지금은 예전처럼 뭐 뭐든지 힘들어도 아 괜찮아 이러지는 않고 솔직함과 그리고 어느 정도의 거짓말을 섞어서 괜찮다 라고 이야기하는 편입니다.,"제가 힘든 걸 남한테 알리고 싶지 않고 저의 부정적인 에너지를 전달해 주기 싫어서 괜찮아 라는 말을 입에 달고 살았는데, 지금은 마냥 괜찮다고 말하지만은 않습니다. 지금은 솔직함과 그리고 어느 정도의 거짓말을 섞어서 괜찮다 라고 이야기하는 편입니다."
네 우선은 이 면접은 끝까지 다 봐야겠죠. 왜냐하면은 이것은 우리의 하나의 시간이고 그리고 이 시간에 정말 중요한 약속이고 일정이니까요. 저는 이 일정을 잘 끝내고 거창한 것은 하지 않을 것 같습니다. 그냥 소소하게 일상 속에서 뭐 행복을 느낄 것 같은데요. 예를 들어서 가족들과 밥 맛있는 밥을 먹으러 간다든지 아니면 영화를 본다든지 아니면 밤 산책을 한다든지 그런 식으로 소소하게 하루를 마무리 지을 것 같습니다. 거창하게 무언가를 하는 것보다는 때로는 소소한 일상에서 오는 행복을 찾는 걸 저는 더 중요하게 생각을 해서요. 그리고 거창하게 뭘 할려고 하면은 오히려 기억에 남는 것도 없을 것 같습니다. 그래서 저는 당장 뭐 할 거 라는 라는 답변에는 일단은 면접을 아주 멋있게 마무리 짓도록 하겠습니다 라고 답변해 드릴 수 있을 것 같습니다.,저는 거창하게 무언가를 하는 것보다는 소소한 일상에서 오는 행복을 찾는 것을 더 중요하게 생각하여 일단 이 면접은 끝까지 다 봐야겠지만 거창하게 뭘 할려고 하면은 기억에 남지 않을 것 같습니다.
